"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","species","age","individual.id","time.to.detect","count","date","pass.id","survey.pass"
421,37.77289,-81.02871,2,11,1990,1,197,"PO","ECIR","NR",NA,NA,1,"1990-11-02",1,"197_1"
421,37.77289,-81.02871,2,11,1990,1,198,"PO","ECIR","NR",NA,NA,1,"1990-11-02",1,"198_1"
1339,38.30498,-82.33177,19,9,1990,1,199,"PO","ECIR","NR",NA,NA,1,"1990-09-19",1,"199_1"
1339,38.30498,-82.33177,19,9,1990,1,200,"PO","ECIR","NR",NA,NA,1,"1990-09-19",1,"200_1"
459,37.79567,-81.02843,8,8,1990,1,201,"PO","ECIR","NR",NA,NA,1,"1990-08-08",1,"201_1"
462,37.79706,-80.93704,17,7,1991,1,202,"PO","ECIR","NR",NA,NA,1,"1991-07-17",1,"202_1"
464,37.80012,-80.93204,17,7,1991,1,203,"PO","ECIR","NR",NA,NA,1,"1991-07-17",1,"203_1"
557,37.83484,-80.89648,9,7,1991,1,204,"PO","ECIR","NR",NA,NA,1,"1991-07-09",1,"204_1"
845,37.98984,-80.96204,20,8,1991,1,205,"PO","ECIR","NR",NA,NA,1,"1991-08-20",1,"205_1"
650,37.86595,-81.03954,10,7,1991,1,206,"PO","ECIR","NR",NA,NA,1,"1991-07-10",1,"206_1"
650,37.86595,-81.03954,10,7,1991,1,207,"PO","ECIR","NR",NA,NA,1,"1991-07-10",1,"207_1"
650,37.86595,-81.03954,10,7,1991,1,208,"PO","ECIR","NR",NA,NA,1,"1991-07-10",1,"208_1"
414,37.7679,-81.04038,15,8,1991,1,209,"PO","ECIR","NR",NA,NA,1,"1991-08-15",1,"209_1"
513,37.82706,-80.98898,14,8,1991,1,210,"PO","ECIR","NR",NA,NA,1,"1991-08-14",1,"210_1"
1202,38.22374,-81.96511,7,3,1948,1,211,"PO","ECIR","NR",NA,NA,1,"1948-03-07",1,"211_1"
323,37.70221,-81.09708,12,10,1953,1,212,"PO","ECIR","NR",NA,NA,1,"1953-10-12",1,"212_1"
323,37.70221,-81.09708,12,10,1953,1,213,"PO","ECIR","NR",NA,NA,1,"1953-10-12",1,"213_1"
812,37.96911,-82.01822,28,3,1953,1,214,"PO","ECIR","NR",NA,NA,1,"1953-03-28",1,"214_1"
1221,38.23246,-81.81829,2,4,1969,1,215,"PO","ECIR","NR",NA,NA,1,"1969-04-02",1,"215_1"
1221,38.23246,-81.81829,2,4,1969,1,216,"PO","ECIR","NR",NA,NA,1,"1969-04-02",1,"216_1"
