"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","count","date","survey.pass"
616,39.729166,-76.21875,22,8,2014,1,136,"PO",1,"DFUS","adult",NA,NA,1,"8/22/2014","136_1"
508,39.645834,-76.15625,15,11,2011,1,137,"PO",1,"DFUS","adult",NA,NA,1,"11/15/2011","137_1"
507,39.645834,-76.21875,30,1,2012,1,138,"PO",1,"DFUS","adult",NA,NA,1,"1/30/2012","138_1"
25,38.4375,-76.46875,1,11,2011,1,139,"PO",1,"DFUS","adult",NA,NA,1,"11/1/2011","139_1"
580,39.729166,-78.78125,26,5,2014,1,140,"PO",1,"DFUS","adult",NA,NA,1,"5/26/2014","140_1"
473,39.645834,-78.78125,10,4,2013,1,141,"PO",1,"DFUS","adult",NA,NA,1,"4/10/2013","141_1"
191,39.3125,-77.15625,13,2,2013,1,142,"PO",1,"DFUS","adult",NA,NA,1,"2/13/2013","142_1"
190,39.3125,-77.21875,27,11,2011,1,143,"PO",1,"DFUS","adult",NA,NA,1,"11/27/2011","143_1"
190,39.3125,-77.21875,27,11,2011,1,144,"PO",1,"DFUS","larva",NA,NA,1,"11/27/2011","144_1"
190,39.3125,-77.21875,13,11,2012,1,145,"PO",1,"DFUS","adult",NA,NA,1,"11/13/2012","145_1"
218,39.354166,-77.15625,27,11,2011,1,146,"PO",1,"DFUS","adult",NA,NA,1,"11/27/2011","146_1"
217,39.354166,-77.21875,10,6,2012,1,147,"PO",1,"DFUS","adult",NA,NA,1,"6/10/2012","147_1"
217,39.354166,-77.21875,13,11,2012,1,148,"PO",1,"DFUS","adult",NA,NA,1,"11/13/2012","148_1"
169,39.270834,-77.15625,2,7,2012,1,149,"PO",1,"DFUS","adult",NA,NA,1,"7/2/2012","149_1"
168,39.270834,-77.21875,20,2,2012,1,150,"PO",1,"DFUS","adult",NA,NA,1,"2/20/2012","150_1"
129,39.1875,-79.46875,21,9,2014,1,151,"PO",1,"DFUS","adult",NA,NA,1,"9/21/2014","151_1"
263,39.4375,-79.34375,9,3,2012,1,152,"PO",1,"DFUS","adult",NA,NA,1,"3/9/2012","152_1"
299,39.479166,-79.34375,2,5,2012,1,153,"PO",1,"DFUS","adult",NA,NA,1,"5/2/2012","153_1"
299,39.479166,-79.34375,2,5,2012,1,154,"PO",1,"DFUS","adult",NA,NA,1,"5/2/2012","154_1"
235,39.395834,-79.28125,30,6,2014,1,155,"PO",1,"DFUS","adult",NA,NA,1,"6/30/2014","155_1"
561,39.6875,-76.28125,19,11,2011,1,156,"PO",1,"DFUS","adult",NA,NA,1,"11/19/2011","156_1"
561,39.6875,-76.28125,19,5,2014,1,157,"PO",1,"DFUS","adult",NA,NA,1,"5/19/2014","157_1"
615,39.729166,-76.28125,19,5,2014,1,158,"PO",1,"DFUS","adult",NA,NA,1,"5/19/2014","158_1"
506,39.645834,-76.28125,19,11,2011,1,159,"PO",1,"DFUS","adult",NA,NA,1,"11/19/2011","159_1"
506,39.645834,-76.28125,25,1,2012,1,160,"PO",1,"DFUS","adult",NA,NA,1,"1/25/2012","160_1"
505,39.645834,-76.34375,9,1,2014,1,161,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2014","161_1"
20,38.354166,-75.65625,19,11,2011,1,162,"PO",1,"DFUS","adult",NA,NA,1,"11/19/2011","162_1"
329,39.479166,-76.28125,5,6,2014,1,163,"PO",1,"DFUS","adult",NA,NA,1,"6/5/2014","163_1"
328,39.479166,-76.34375,16,2,2014,1,164,"PO",1,"DFUS","larva",NA,NA,1,"2/16/2014","164_1"
196,39.3125,-76.84375,25,3,2013,1,165,"PO",1,"DFUS","adult",NA,NA,1,"3/25/2013","165_1"
196,39.3125,-76.84375,27,3,2013,1,166,"PO",1,"DFUS","adult",NA,NA,1,"3/27/2013","166_1"
223,39.354166,-76.84375,1,2,2014,1,167,"PO",1,"DFUS","adult",NA,NA,1,"2/1/2014","167_1"
175,39.270834,-76.78125,8,11,2011,1,168,"PO",1,"DFUS","adult",NA,NA,1,"11/8/2011","168_1"
174,39.270834,-76.84375,18,12,2012,1,169,"PO",1,"DFUS","adult",NA,NA,1,"12/18/2012","169_1"
545,39.6875,-77.34375,16,5,2014,1,170,"PO",1,"DFUS","adult",NA,NA,1,"5/16/2014","170_1"
524,39.6875,-78.65625,4,1,2012,1,171,"PO",1,"DFUS","adult",NA,NA,1,"1/4/2012","171_1"
581,39.729166,-78.65625,4,1,2012,1,172,"PO",1,"DFUS","adult",NA,NA,1,"1/4/2012","172_1"
76,38.979166,-77.21875,21,11,2014,1,173,"PO",1,"DFUS","adult",NA,NA,1,"11/21/2014","173_1"
559,39.6875,-76.40625,29,11,2011,1,174,"PO",1,"DFUS","adult",NA,NA,1,"11/29/2011","174_1"
558,39.6875,-76.46875,25,1,2012,1,175,"PO",1,"DFUS","adult",NA,NA,1,"1/25/2012","175_1"
558,39.6875,-76.46875,29,11,2011,1,176,"PO",1,"DFUS","adult",NA,NA,1,"11/29/2011","176_1"
558,39.6875,-76.46875,10,1,2014,1,177,"PO",1,"DFUS","adult",NA,NA,1,"1/10/2014","177_1"
504,39.645834,-76.40625,29,11,2011,1,178,"PO",1,"DFUS","adult",NA,NA,1,"11/29/2011","178_1"
283,39.4375,-76.90625,24,11,2011,1,179,"PO",1,"DFUS","adult",NA,NA,1,"11/24/2011","179_1"
283,39.4375,-76.90625,24,11,2011,1,180,"PO",1,"DFUS","larva",NA,NA,1,"11/24/2011","180_1"
282,39.4375,-76.96875,24,11,2011,1,181,"PO",1,"DFUS","adult",NA,NA,1,"11/24/2011","181_1"
319,39.479166,-76.96875,24,11,2011,1,182,"PO",1,"DFUS","adult",NA,NA,1,"11/24/2011","182_1"
319,39.479166,-76.96875,14,3,2012,1,183,"PO",1,"DFUS","adult",NA,NA,1,"3/14/2012","183_1"
250,39.395834,-76.90625,24,11,2011,1,184,"PO",1,"DFUS","adult",NA,NA,1,"11/24/2011","184_1"
526,39.6875,-78.53125,27,8,2013,1,185,"PO",1,"DFUS","adult",NA,NA,1,"8/27/2013","185_1"
526,39.6875,-78.53125,26,10,2014,1,186,"PO",1,"DFUS","adult",NA,NA,1,"10/26/2014","186_1"
525,39.6875,-78.59375,11,1,2012,1,187,"PO",1,"DFUS","adult",NA,NA,1,"1/11/2012","187_1"
583,39.729166,-78.53125,17,6,2012,1,188,"PO",1,"DFUS","adult",NA,NA,1,"6/17/2012","188_1"
582,39.729166,-78.59375,26,5,2014,1,189,"PO",1,"DFUS","adult",NA,NA,1,"5/26/2014","189_1"
475,39.645834,-78.53125,29,4,2013,1,190,"PO",1,"DFUS","adult",NA,NA,1,"4/29/2013","190_1"
475,39.645834,-78.53125,29,4,2013,1,191,"PO",1,"DFUS","adult",NA,NA,1,"4/29/2013","191_1"
274,39.4375,-77.46875,11,10,2011,1,192,"PO",1,"DFUS","adult",NA,NA,1,"10/11/2011","192_1"
274,39.4375,-77.46875,11,10,2011,1,193,"PO",1,"DFUS","juvenile",NA,NA,1,"10/11/2011","193_1"
311,39.479166,-77.46875,10,11,2012,1,194,"PO",1,"DFUS","adult",NA,NA,1,"11/10/2012","194_1"
311,39.479166,-77.46875,31,12,2012,1,195,"PO",1,"DFUS","adult",NA,NA,1,"12/31/2012","195_1"
311,39.479166,-77.46875,8,11,2011,1,196,"PO",1,"DFUS","adult",NA,NA,1,"11/8/2011","196_1"
241,39.395834,-77.46875,13,2,2015,1,197,"PO",1,"DFUS","adult",NA,NA,1,"2/13/2015","197_1"
515,39.6875,-79.40625,10,5,2015,1,198,"PO",1,"DFUS","adult",NA,NA,1,"5/10/2015","198_1"
515,39.6875,-79.40625,22,2,2014,1,199,"PO",1,"DFUS","adult",NA,NA,1,"2/22/2014","199_1"
515,39.6875,-79.40625,22,2,2014,1,200,"PO",1,"DFUS","adult",NA,NA,1,"2/22/2014","200_1"
514,39.6875,-79.46875,22,8,2013,1,201,"PO",1,"DFUS","adult",NA,NA,1,"8/22/2013","201_1"
571,39.729166,-79.40625,18,5,2013,1,202,"PO",1,"DFUS","adult",NA,NA,1,"5/18/2013","202_1"
