"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","date","count","survey.pass"
89,42.5898,-71.8617,17,8,1999,1,126,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"126_1"
89,42.5898,-71.8617,17,8,1999,1,127,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"127_1"
89,42.5898,-71.8617,17,8,1999,1,128,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"128_1"
89,42.5898,-71.8617,17,8,1999,1,129,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"129_1"
89,42.5898,-71.8617,17,8,1999,1,130,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"130_1"
89,42.5898,-71.8617,17,8,1999,1,131,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"131_1"
89,42.5898,-71.8617,17,8,1999,1,132,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"132_1"
89,42.5898,-71.8617,17,8,1999,1,133,"PO",1,"GPOR","larva",NA,NA,"8/17/1999",1,"133_1"
88,42.5895,-72.9376,1,6,1995,1,134,"PO",1,"GPOR","larva",NA,NA,"6/1/1995",1,"134_1"
6,42.10678269,-73.48468202,NA,NA,1984,1,135,"PO",1,"GPOR","NR",NA,NA,NA,1,"135_1"
5,42.10579644,-73.48219376,NA,NA,1984,1,136,"PO",1,"GPOR","NR",NA,NA,NA,1,"136_1"
4,42.10314206,-73.48356995,25,7,1987,1,137,"PO",1,"GPOR","NR",NA,NA,"7/25/1987",1,"137_1"
7,42.11498334,-73.49323338,12,5,1987,1,138,"PO",1,"GPOR","NR",NA,NA,"5/12/1987",1,"138_1"
70,42.5229,-73.1829,12,7,1996,1,139,"PO",1,"GPOR","juvenile",NA,NA,"7/12/1996",1,"139_1"
94,42.59629596,-73.2153765,12,7,1996,1,140,"PO",1,"GPOR","adult",NA,NA,"7/12/1996",1,"140_1"
99,42.6006,-73.2106,24,6,2004,1,141,"PO",1,"GPOR","adult",NA,NA,"6/24/2004",1,"141_1"
60,42.49018513,-73.30541038,24,5,1990,1,142,"PO",1,"GPOR","NR",NA,NA,"5/24/1990",1,"142_1"
62,42.49563848,-73.30038961,24,5,1990,1,143,"PO",1,"GPOR","NR",NA,NA,"5/24/1990",1,"143_1"
42,42.397,-72.427,NA,NA,1935,1,144,"PO",1,"GPOR","NR",NA,NA,NA,1,"144_1"
63,42.5009,-71.9012,2,6,1995,1,145,"PO",1,"GPOR","adult",NA,NA,"6/2/1995",1,"145_1"
64,42.5012,-72.7931,0,NA,1971,1,146,"PO",1,"GPOR","NR",NA,NA,NA,1,"146_1"
64,42.5012,-72.7931,0,NA,1967,1,147,"PO",1,"GPOR","NR",NA,NA,NA,1,"147_1"
33,42.3548,-73.2032,0,NA,1975,1,148,"PO",1,"GPOR","adult",NA,NA,NA,1,"148_1"
140,42.72707232,-73.25745867,10,8,2000,1,149,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"149_1"
136,42.72413688,-73.2356146,10,8,2000,1,150,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"150_1"
144,42.73495166,-73.25282001,10,8,2000,1,151,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"151_1"
141,42.72810134,-73.26033513,10,8,2000,1,152,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"152_1"
137,42.72589778,-73.25245646,10,8,2000,1,153,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"153_1"
139,42.72640521,-73.25434911,10,8,2000,1,154,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"154_1"
143,42.73191325,-73.25963949,10,8,2000,1,155,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"155_1"
142,42.72852315,-73.24186312,10,8,2000,1,156,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"156_1"
138,42.72620077,-73.24980923,10,8,2000,1,157,"PO",1,"GPOR","NR",NA,NA,"8/10/2000",1,"157_1"
36,42.3809,-72.3426,NA,7,1964,1,158,"PO",1,"GPOR","NR",NA,NA,NA,1,"158_1"
76,42.56253765,-72.82594783,0,NA,1981,1,159,"PO",1,"GPOR","larva",NA,NA,NA,1,"159_1"
72,42.56075378,-72.82699433,0,NA,1981,1,160,"PO",1,"GPOR","larva",NA,NA,NA,1,"160_1"
75,42.56226545,-72.82039241,0,NA,1985,1,161,"PO",1,"GPOR","NR",NA,NA,NA,1,"161_1"
74,42.56204329,-72.82664009,19,8,2005,1,162,"PO",1,"GPOR","NR",NA,NA,"8/19/2005",1,"162_1"
43,42.4043,-72.3273,0,NA,1988,1,163,"PO",1,"GPOR","NR",NA,NA,NA,1,"163_1"
56,42.47647948,-71.88701853,16,8,2005,1,164,"PO",1,"GPOR","juvenile",NA,NA,"8/16/2005",1,"164_1"
57,42.47760693,-71.89136641,16,8,2005,1,165,"PO",1,"GPOR","juvenile",NA,NA,"8/16/2005",1,"165_1"
8,42.144,-73.4579,4,9,1997,1,166,"PO",1,"GPOR","larva",NA,NA,"9/4/1997",1,"166_1"
8,42.144,-73.4579,14,6,1987,1,167,"PO",1,"GPOR","larva",NA,NA,"6/14/1987",1,"167_1"
8,42.144,-73.4579,18,5,1987,1,168,"PO",1,"GPOR","larva",NA,NA,"5/18/1987",1,"168_1"
8,42.144,-73.4579,18,5,1987,1,169,"PO",1,"GPOR","adult",NA,NA,"5/18/1987",1,"169_1"
39,42.38883532,-73.30266897,0,NA,1986,1,170,"PO",1,"GPOR","NR",NA,NA,NA,1,"170_1"
41,42.39688254,-73.2915595,0,NA,1976,1,171,"PO",1,"GPOR","NR",NA,NA,NA,1,"171_1"
41,42.39688254,-73.2915595,0,NA,1976,1,172,"PO",1,"GPOR","NR",NA,NA,NA,1,"172_1"
41,42.39688254,-73.2915595,0,NA,1976,1,173,"PO",1,"GPOR","NR",NA,NA,NA,1,"173_1"
41,42.39688254,-73.2915595,0,NA,1976,1,174,"PO",1,"GPOR","NR",NA,NA,NA,1,"174_1"
41,42.39688254,-73.2915595,0,NA,1976,1,175,"PO",1,"GPOR","NR",NA,NA,NA,1,"175_1"
41,42.39688254,-73.2915595,0,NA,1976,1,176,"PO",1,"GPOR","NR",NA,NA,NA,1,"176_1"
41,42.39688254,-73.2915595,0,NA,1976,1,177,"PO",1,"GPOR","NR",NA,NA,NA,1,"177_1"
41,42.39688254,-73.2915595,0,NA,1976,1,178,"PO",1,"GPOR","NR",NA,NA,NA,1,"178_1"
