"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"132","Museum202",41.392112,-77.57383,"Pennsylvania","Museum",NA,"2011-07-14",14,7,2011,1,132,1,"132_1","PO","GPOR","NR",NA,NA,1
"133","Museum198",41.215903,-77.480352,"Pennsylvania","Museum",NA,"2011-07-28",28,7,2011,1,133,1,"133_1","PO","GPOR","NR",NA,NA,1
"134","Museum200",41.359842,-77.612559,"Pennsylvania","Museum",NA,"2011-07-13",13,7,2011,1,134,1,"134_1","PO","GPOR","NR",NA,NA,1
"135","Museum166",37.36833,-80.52167,"","Museum",NA,"2001-08-09",9,8,2001,1,135,1,"135_1","PO","GPOR","NR",NA,NA,1
"136","Museum193",40.63,-75.99,"Pennsylvania","Museum",715,"1998-04-01",1,4,1998,1,136,1,"136_1","PO","GPOR","NR",NA,NA,1
"137","Museum206",41.61,-79.25,"Pennsylvania","Museum",NA,"1995-05",NA,5,NA,1,137,1,"137_1","PO","GPOR","NR",NA,NA,1
"138","Museum199",41.27,-80.61,"Ohio","Museum",600,"1994-05-14",14,5,1994,1,138,1,"138_1","PO","GPOR","NR",NA,NA,1
"139","Museum207",41.76,-79.26,"Pennsylvania","Museum",NA,"1995-04",NA,4,NA,1,139,1,"139_1","PO","GPOR","NR",NA,NA,1
"140","Museum196",41.04,-80.53,"Ohio","Museum",100,"1994-04-21",21,4,1994,1,140,1,"140_1","PO","GPOR","NR",NA,NA,1
"141","Museum203",41.42,-78.03,"Pennsylvania","Museum",20,"2013-05-20",20,5,2013,1,141,1,"141_1","PO","GPOR","NR",NA,NA,1
"142","Museum204",41.45,-79.1,"Pennsylvania","Museum",NA,"1996-10",NA,10,NA,1,142,1,"142_1","PO","GPOR","NR",NA,NA,1
"143","Museum205",41.49,-79.09,"Pennsylvania","Museum",NA,"1996",NA,NA,NA,1,143,1,"143_1","PO","GPOR","NR",NA,NA,1
"144","Museum178",38.7674,-79.576374,"West Virginia","Museum",6951,"1998-10-02",2,10,1998,1,144,1,"144_1","PO","GPOR","NR",NA,NA,1
"145","Museum96",35.0826,-83.0687,"North Carolina","Museum",402,"2001-03-12",12,3,2001,1,145,1,"145_1","PO","GPOR","NR",NA,NA,1
"146","Museum89",35.0758,-82.7816,"South Carolina","Museum",402,"2003-02-21",21,2,2003,1,146,1,"146_1","PO","GPOR","NR",NA,NA,1
"147","Museum51",35.0129,-83.2663,"North Carolina","Museum",201,"2001-02-09",9,2,2001,1,147,1,"147_1","PO","GPOR","NR",NA,NA,1
"148","Museum71",35.0559,-82.7978,"South Carolina","Museum",201,"2003-02-21",21,2,2003,1,148,1,"148_1","PO","GPOR","NR",NA,NA,1
"149","Museum75",35.0652,-82.7984,"South Carolina","Museum",201,"2005-03-27",27,3,2005,1,149,1,"149_1","PO","GPOR","NR",NA,NA,1
"150","Museum93",35.0767,-82.7798,"South Carolina","Museum",201,"2003-03-05",5,3,2003,1,150,1,"150_1","PO","GPOR","NR",NA,NA,1
"151","Museum91",35.0763,-82.7806,"South Carolina","Museum",201,"2003-03-06",6,3,2003,1,151,1,"151_1","PO","GPOR","NR",NA,NA,1
"152","Museum67",35.046,-82.8022,"South Carolina","Museum",201,"2003-03-05",5,3,2003,1,152,1,"152_1","PO","GPOR","NR",NA,NA,1
"153","Museum82",35.0718,-82.7851,"South Carolina","Museum",201,"2005-03-27",27,3,2005,1,153,1,"153_1","PO","GPOR","NR",NA,NA,1
"154","Museum103",35.1368,-81.818,"South Carolina","Museum",NA,"2000-11-21",21,11,2000,1,154,1,"154_1","PO","GPOR","NR",NA,NA,1
"155","Museum43",35.0024,-83.0483,"South Carolina","Museum",NA,"2007-03-15",15,3,2007,1,155,1,"155_1","PO","GPOR","NR",NA,NA,1
"156","Museum81",35.0709,-82.7863,"South Carolina","Museum",201,"2003-03-05",5,3,2003,1,156,1,"156_1","PO","GPOR","NR",NA,NA,1
"157","Museum186",39.2835,-79.6203,"West Virginia","Museum",NA,"2018-04-14",14,4,2018,1,157,1,"157_1","PO","GPOR","NR",NA,NA,1
"158","Museum157",36.5566,-80.9084,"North Carolina","Museum",201,"1998-12-08",8,12,1998,1,158,1,"158_1","PO","GPOR","NR",NA,NA,1
"159","Museum77",35.0692,-82.7951,"South Carolina","Museum",201,"2003-03-05",5,3,2003,1,159,1,"159_1","PO","GPOR","NR",NA,NA,1
"160","Museum132",35.7845,-83.1991,"Tennessee","Museum",4023,"2000-04",NA,4,NA,1,160,1,"160_1","PO","GPOR","NR",NA,NA,1
"161","Museum138",36.0931,-81.8101,"North Carolina","Museum",402,"2001-04-13",13,4,2001,1,161,1,"161_1","PO","GPOR","NR",NA,NA,1
"162","Museum34",34.9618,-82.861,"South Carolina","Museum",201,"2001-03-03",3,3,2001,1,162,1,"162_1","PO","GPOR","NR",NA,NA,1
"163","Museum37",34.975,-83.0742,"South Carolina","Museum",NA,"1999-10-02",2,10,1999,1,163,1,"163_1","PO","GPOR","NR",NA,NA,1
"164","Museum133",35.9242,-81.8726,"North Carolina","Museum",402,"1997-06-15",15,6,1997,1,164,1,"164_1","PO","GPOR","NR",NA,NA,1
"165","Museum72",35.0563,-82.7975,"South Carolina","Museum",201,"2003-02-21",21,2,2003,1,165,1,"165_1","PO","GPOR","NR",NA,NA,1
"166","Museum137",36.0928,-81.8104,"North Carolina","Museum",805,"2002-04-13",13,4,2002,1,166,1,"166_1","PO","GPOR","NR",NA,NA,1
"167","Museum144",36.113,-81.7659,"North Carolina","Museum",4023,"2002-04-13",13,4,2002,1,167,1,"167_1","PO","GPOR","NR",NA,NA,1
"168","Museum124",35.602,-81.6431,"North Carolina","Museum",NA,"1996-05-22",22,5,1996,1,168,1,"168_1","PO","GPOR","NR",NA,NA,1
"169","Museum25",34.8766,-83.0619,"South Carolina","Museum",201,"2001-10-21",21,10,2001,1,169,1,"169_1","PO","GPOR","NR",NA,NA,1
"170","Museum11",34.7361,-83.3466,"South Carolina","Museum",4023,"1999-10-12",12,10,1999,1,170,1,"170_1","PO","GPOR","NR",NA,NA,1
"171","Museum35",34.9618,-82.8609,"South Carolina","Museum",NA,"2001-02-16",16,2,2001,1,171,1,"171_1","PO","GPOR","NR",NA,NA,1
"172","Museum36",34.9669,-82.8632,"South Carolina","Museum",NA,"2001-02-16",16,2,2001,1,172,1,"172_1","PO","GPOR","NR",NA,NA,1
"173","Museum172",38.316,-79.6569,"Virginia","Museum",NA,"2019-05-15",15,5,2019,1,173,1,"173_1","PO","GPOR","NR",NA,NA,1
