strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
170300030105,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300030204,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300030205,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050203,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050204,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050301,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050302,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050303,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050304,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050306,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050401,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050402,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050403,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050404,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050405,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050406,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050501,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050502,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050503,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050504,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050505,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050506,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050601,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050602,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050603,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050701,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050702,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050703,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050801,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050802,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050803,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050804,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050805,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050806,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050810,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050811,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050901,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050902,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050903,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050904,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701050905,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051001,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051002,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051003,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051004,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051005,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051006,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051007,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051008,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051104,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
