"SSAR.scientific","SSAR.common","spp.type","DS.code","all.codes","SSAR.names","IUCN.scientific","iNat.scientific"
"Dryophytes wrightorum","Wright's Mountain Treefrog","Frog/Toad","HYWR","HYWR","Dryophytes wrightorum","Dryophytes wrightorum","Hyla wrightorum"
"Eleutherodactylus coqui","Coqui","Frog/Toad","ELCO","ELCO","Eleutherodactylus coqui","Eleutherodactylus coqui","Eleutherodactylus coqui"
"Eleutherodactylus guttilatus","Spotted Chirping Frog","Frog/Toad","ELGU","ELGU","Eleutherodactylus guttilatus","Eleutherodactylus guttilatus","Eleutherodactylus guttilatus"
"Eleutherodactylus marnockii","Cliff Chirping Frog","Frog/Toad","ELMA","ELMA","Eleutherodactylus marnockii","Eleutherodactylus marnockii","Eleutherodactylus marnockii"
"Eleutherodactylus planirostris","Greenhouse Frog","Frog/Toad","ELPL","ELPL","Eleutherodactylus planirostris","Eleutherodactylus planirostris","Eleutherodactylus planirostris"
"Ensatina eschscholtzii","Ensatina","Salamander","ENES","ENES|ENESCR|ENESES|ENESKL|ENESOR|ENESPI|ENESPL|ENESXA","Ensatina eschscholtzii, Ensatina eschscholtzii croceater, Ensatina eschscholtzii eschscholtzii, Ensatina eschscholtzii klauberi, Ensatina eschscholtzii oregonensis, Ensatina eschscholtzii picta, Ensatina eschscholtzii platensis, Ensatina eschscholtzii xanthoptica","Ensatina eschscholtzii","Ensatina eschscholtzii, Ensatina eschscholtzii croceater, Ensatina eschscholtzii eschscholtzii, Ensatina eschscholtzii klauberi, Ensatina eschscholtzii oregonensis, Ensatina eschscholtzii picta, Ensatina eschscholtzii platensis, Ensatina eschscholtzii xanthoptica"
"Eurycea aquatica","Brown-backed Salamander","Salamander","EUAQ","EUAQ","Eurycea aquatica","Eurycea aquatica","Eurycea aquatica"
"Eurycea arenicola","Carolina Sandhills Salamander","Salamander","EUAR","EUAR","Eurycea arenicola","Eurycea arenicola","Eurycea arenicola"
"Eurycea bislineata","Northern Two-lined Salamander","Salamander","EBIS","EBIS","Eurycea bislineata","Eurycea bislineata","Eurycea bislineata"
"Eurycea braggi","Southern Grotto Salamander","Salamander","EUBR","EUBR","Eurycea braggi","Eurycea braggi","Eurycea braggi"
"Eurycea chamberlaini","Chamberlain's Dwarf Salamander","Salamander","EUCH","EUCH","Eurycea chamberlaini","Eurycea chamberlaini","Eurycea chamberlaini"
"Eurycea chisholmensis","Salado Salamander","Salamander","EURC","EURC","Eurycea chisholmensis","Eurycea chisholmensis","Eurycea chisholmensis"
"Eurycea cirrigera","Southern Two-lined Salamander","Salamander","ECIR","ECIR","Eurycea cirrigera","Eurycea cirrigera","Eurycea cirrigera"
"Eurycea guttolineata","Three-lined Salamander","Salamander","EGUT","EGUT","Eurycea guttolineata","Eurycea guttolineata","Eurycea guttolineata"
"Eurycea hillisi","Hillis's Dwarf Salamander","Salamander","EUHI","EUHI","Eurycea hillisi","Eurycea hillisi","Eurycea hillisi"
"Eurycea junaluska","Junaluska Salamander","Salamander","EJUN","EJUN","Eurycea junaluska","Eurycea junaluska","Eurycea junaluska"
"Eurycea latitans","Cascade Caverns Salamander","Salamander","EULA","EULA","Eurycea latitans","Eurycea latitans","Eurycea latitans"
"Eurycea longicauda","Long-tailed Salamander","Salamander","ELON","ELON|ELONLO|ELONME","Eurycea longicauda, Eurycea longicauda longicauda, Eurycea longicauda melanopleura","Eurycea longicauda","Eurycea longicauda, Eurycea longicauda, Eurycea melanopleura"
"Eurycea lucifuga","Cave Salamander","Salamander","ELUC","ELUC","Eurycea lucifuga","Eurycea lucifuga","Eurycea lucifuga"
"Eurycea multiplicata","Many-ribbed Salamander","Salamander","EUMU","EUMU","Eurycea multiplicata","Eurycea multiplicata","Eurycea multiplicata"
"Eurycea nana","San Marcos Salamander","Salamander","EUNA","EUNA","Eurycea nana","Eurycea nana","Eurycea nana"
"Eurycea naufragia","Georgetown Salamander","Salamander","EURN","EURN","Eurycea naufragia","Eurycea naufragia","Eurycea naufragia"
"Eurycea neotenes","Texas Salamander","Salamander","EUNE","EUNE","Eurycea neotenes","Eurycea neotenes","Eurycea neotenes"
"Eurycea nerea","Northern Grotto Salamander","Salamander","ENER","ENER","Eurycea nerea","Eurycea nerea","Eurycea nerea"
"Eurycea paludicola","Western Dwarf Salamander","Salamander","EUPA","EUPA","Eurycea paludicola","Eurycea paludicola","Eurycea paludicola"
"Eurycea pterophila","Fern Bank Salamander","Salamander","EUPT","EUPT","Eurycea pterophila","Eurycea pterophila","Eurycea pterophila"
"Eurycea quadridigitata","Southeastern Dwarf Salamander","Salamander","EUQU","EUQU","Eurycea quadridigitata","Eurycea quadridigitata","Eurycea quadridigitata"
"Eurycea rathbuni","Texas Blind Salamander","Salamander","EURA","EURA","Eurycea rathbuni","Eurycea rathbuni","Eurycea rathbuni"
"Eurycea robusta","Blanco Blind Salamander","Salamander","EURO","EURO","Eurycea robusta","Eurycea robusta","Eurycea robusta"
"Eurycea sosorum","Barton Springs Salamander","Salamander","EUSO","EUSO","Eurycea sosorum","Eurycea sosorum","Eurycea sosorum"
"Eurycea spelaea","Western Grotto Salamander","Salamander","EUSP","EUSP","Eurycea spelaea","Eurycea spelaea","Eurycea spelaea"
"Eurycea sphagnicola","Bog Dwarf Salamander","Salamander","EURS","EURS","Eurycea sphagnicola","Eurycea sphagnicola","Eurycea sphagnicola"
"Eurycea subfluvicola","Ouachita Streambed Salamander","Salamander","EUSU","EUSU","Eurycea subfluvicola","Eurycea subfluvicola","Eurycea subfluvicola"
"Eurycea tonkawae","Jollyville Plateau Salamander","Salamander","EUTO","EUTO","Eurycea tonkawae","Eurycea tonkawae","Eurycea tonkawae"
"Eurycea troglodytes","Valdina Farms Salamander","Salamander","EUTR","EUTR","Eurycea troglodytes","Eurycea troglodytes","Eurycea troglodytes"
"Eurycea tynerensis","Oklahoma Salamander","Salamander","EUTY","EUTY","Eurycea tynerensis","Eurycea tynerensis","Eurycea tynerensis"
"Eurycea wallacei","Georgia Blind Salamander","Salamander","EUWA","EUWA","Eurycea wallacei","Eurycea wallacei","Eurycea wallacei"
"Eurycea waterlooensis","Austin Blind Salamander","Salamander","EURW","EURW","Eurycea waterlooensis","Eurycea waterlooensis","Eurycea waterlooensis"
