strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
031300010603,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010604,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010701,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010702,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010703,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010704,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010705,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010801,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010802,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010803,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010804,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010805,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010806,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010807,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010808,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010809,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010901,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010902,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010903,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010904,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010905,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010906,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300010907,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011001,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011002,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011003,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011004,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011104,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011105,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011106,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011201,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011203,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
