strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010200050510,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050602,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050603,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050701,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050702,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050703,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050704,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050705,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050706,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050707,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050801,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050802,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050803,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050804,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050805,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051001,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051002,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051003,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200051007,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010101,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010201,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010202,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010204,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010205,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010206,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010301,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010302,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010303,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010304,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010305,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010306,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010307,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010308,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010309,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010310,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010401,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010402,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010403,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010404,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010501,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010502,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
